,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
103,The Irishman,2019,7.8,94.0,332991,7.0,209
104,Snatch,2000,8.3,55.0,789233,30.33,102
105,The Princess Bride,1987,8.0,77.0,396689,30.86,98
106,The Godfather: Part II,1974,9.0,90.0,1143780,57.3,202
107,About Time,2013,7.8,55.0,309189,15.32,123
108,American Beauty,1999,8.3,84.0,1078671,130.1,122
109,A Clockwork Orange,1971,8.3,77.0,765025,6.21,136
110,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1242908,322.74,121
111,Dunkirk,2017,7.8,94.0,565419,188.37,106
112,The Perks of Being a Wallflower,2012,8.0,67.0,467281,17.74,103
113,Donnie Darko,2001,8.0,88.0,745758,1.48,113
114,The Breakfast Club,1985,7.8,66.0,360397,45.88,97
115,Good Will Hunting,1997,8.3,70.0,872109,138.43,126
116,Citizen Kane,1941,8.3,100.0,408669,1.59,119
117,Aliens,1986,8.3,84.0,658566,85.16,137
118,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,606704,258.37,161
119,Dances with Wolves,1990,8.0,72.0,243222,184.21,181
120,12 Angry Men,1957,9.0,96.0,699810,4.36,96
121,The Hateful Eight,2015,7.8,68.0,525354,54.12,168
122,Scarface,1983,8.3,65.0,751016,45.6,170
123,The Big Lebowski,1998,8.1,71.0,739546,17.5,117
124,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1501389,342.55,179
125,Rush,2013,8.1,74.0,437275,26.95,123
126,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,559323,249.36,142
127,Spirited Away,2001,8.6,96.0,662755,10.06,125
128,Braveheart,1995,8.3,68.0,967225,75.6,178
129,The Pianist,2002,8.5,85.0,740705,32.57,150
130,There Will Be Blood,2007,8.2,93.0,524606,40.22,158
131,Reservoir Dogs,1992,8.3,79.0,928685,2.83,99
132,"The Good, the Bad and the Ugly",1966,8.8,90.0,695594,6.1,178
133,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,927227,112.0,133
134,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,442641,54.51,115
135,Hacksaw Ridge,2016,8.1,71.0,444095,67.21,139
136,The Social Network,2010,7.7,95.0,632842,96.96,120
137,Training Day,2001,7.7,69.0,396446,76.63,122
138,Stardust,2007,7.6,66.0,256920,38.63,127
139,Room,2015,8.1,86.0,377558,14.68,118
140,The Help,2011,8.0,62.0,432227,169.71,146
141,Argo,2012,7.7,86.0,577919,136.03,120
142,King Kong,1933,7.9,90.0,79939,10.0,100
143,Memento,2000,8.4,80.0,1136876,25.54,113
144,Inside Man,2006,7.6,76.0,344097,88.51,129
145,The Notebook,2004,7.8,53.0,525984,81.0,123
146,The Hunt,2012,8.3,77.0,287656,0.69,115
147,La La Land,2016,8.0,94.0,514127,151.1,128
148,Wonder,2017,8.0,66.0,145286,132.42,113
149,The Usual Suspects,1995,8.5,77.0,1000854,23.34,106
150,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85.0,891600,248.16,115
151,Terminator 2: Judgment Day,1991,8.5,75.0,1004337,204.84,137
152,Rogue One: A Star Wars Story,2016,7.8,65.0,562753,532.18,133
153,The Invisible Guest,2016,8.1,,148632,,106
154,Mary Poppins,1964,7.8,88.0,159305,102.27,139
155,Saw,2004,7.6,46.0,382014,56.0,103
156,Black Swan,2010,8.0,79.0,705836,106.95,108
157,Kingsman: The Secret Service,2014,7.7,60.0,595786,128.26,129
158,Logan,2017,8.1,77.0,658063,226.28,137
159,Moneyball,2011,7.6,87.0,375056,75.61,133
160,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,920662,34.4,108
161,Fargo,1996,8.1,85.0,623879,24.61,98
162,Boogie Nights,1997,7.9,85.0,242012,26.4,155
163,Zootopia,2016,8.0,78.0,439718,341.27,108
164,A Star Is Born,2018,7.6,88.0,340711,215.29,136
165,The Girl with the Dragon Tattoo,2011,7.8,71.0,427917,102.52,158
166,Zodiac,2007,7.7,78.0,474335,33.08,157
167,Kill Bill: Vol. 1,2003,8.1,69.0,1011133,70.1,111
168,The Truman Show,1998,8.1,90.0,952860,125.62,103
169,The Revenant,2015,8.0,76.0,715054,183.64,156
170,Trainspotting,1996,8.1,83.0,639814,16.5,93
171,Oldboy,2003,8.4,77.0,522125,0.71,120
172,Drive,2011,7.8,78.0,577573,35.06,100
173,2001: A Space Odyssey,1968,8.3,84.0,610036,56.95,149
174,Predator,1987,7.8,45.0,374734,59.74,107
175,Wind River,2017,7.7,73.0,210972,33.8,107
176,Vertigo,1958,8.3,100.0,368518,3.2,128
177,Dead Poets Society,1989,8.1,79.0,432463,95.86,128
178,The Intouchables,2011,8.5,57.0,771391,13.18,112
179,Stand by Me,1986,8.1,75.0,366885,52.29,89
180,The Hangover,2009,7.7,73.0,722266,277.32,100
181,True Romance,1993,7.9,59.0,208833,12.28,119
182,Sicario,2015,7.6,82.0,376546,46.89,121
183,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,180249,4.0,100
184,Silver Linings Playbook,2012,7.7,81.0,667023,132.09,122
185,Ghostbusters,1984,7.8,71.0,358601,238.63,105
186,Hunt for the Wilderpeople,2016,7.9,81.0,113983,5.2,101
187,A Beautiful Mind,2001,8.2,72.0,858324,170.74,135
188,Catch Me If You Can,2002,8.1,75.0,846652,164.62,141
189,Portrait of a Lady on Fire,2019,8.1,95.0,68099,3.76,122
190,X-Men: Days of Future Past,2014,7.9,75.0,665346,233.92,132
191,Once Upon a Time in America,1984,8.4,,315538,5.32,229
192,Die Hard,1988,8.2,72.0,799734,83.01,132
193,Ex Machina,2014,7.7,78.0,479319,25.44,108
194,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,540551,3.9,107
195,Nightcrawler,2014,7.8,76.0,474157,32.38,117
196,The Terminator,1984,8.0,84.0,803972,38.4,107
197,City of God,2002,8.6,79.0,705259,7.56,130
198,The Fifth Element,1997,7.7,52.0,437612,63.54,126
199,Her,2013,8.0,90.0,548138,25.57,126
200,Mulholland Drive,2001,7.9,85.0,325930,7.22,147
201,The Imitation Game,2014,8.0,73.0,693468,91.13,114
202,Kick-Ass,2010,7.6,66.0,528064,48.07,117
203,Coco,2017,8.4,81.0,396913,209.73,105
204,The Handmaiden,2016,8.1,84.0,117669,2.01,145
205,X-Men: First Class,2011,7.7,65.0,650140,146.41,131
206,Spotlight,2015,8.1,93.0,426474,45.06,129
207,A Man for All Seasons,1966,7.7,72.0,31747,28.35,120
208,American History X,1998,8.5,62.0,1043554,6.72,119
209,My Cousin Vinny,1992,7.6,68.0,108695,52.93,120
210,Apocalypto,2006,7.8,68.0,293203,50.87,139
211,Full Metal Jacket,1987,8.3,76.0,681840,46.36,116
212,Cast Away,2000,7.8,73.0,530623,233.63,143
213,Your Name.,2016,8.4,79.0,202871,5.02,106
214,The Incredibles,2004,8.0,90.0,662727,261.44,115
215,Hidden Figures,2016,7.8,74.0,204378,169.61,127
216,Psycho,1960,8.5,97.0,610955,32.0,109
217,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,485279,295.98,146
218,Casino Royale,2006,8.0,80.0,586174,167.45,144
219,Sin City,2005,8.0,74.0,740732,74.1,124
220,Hot Fuzz,2007,7.8,81.0,467359,23.64,121
221,Tangled,2010,7.7,71.0,409940,200.82,100
222,Life Is Beautiful,1997,8.6,59.0,631475,57.6,116
223,12 Monkeys,1995,8.0,74.0,582883,57.14,129
224,Brokeback Mountain,2005,7.7,87.0,326032,83.04,134
225,Dark Waters,2019,7.6,73.0,65258,,126
226,V for Vendetta,2005,8.2,62.0,1041826,70.51,132
227,Rocky,1976,8.1,70.0,524194,117.24,120
228,The Wizard of Oz,1939,8.0,92.0,372994,2.08,102
229,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,480935,301.96,153
230,Casino,1995,8.2,73.0,472195,42.44,178
231,Ratatouille,2007,8.0,96.0,648857,206.45,111
232,True Grit,2010,7.6,80.0,314969,171.24,110
233,Toy Story,1995,8.3,95.0,897464,191.8,81
234,Atonement,2007,7.8,85.0,254553,50.93,123
235,Sherlock Holmes,2009,7.6,57.0,587066,209.03,128
236,Platoon,1986,8.1,92.0,384748,138.53,120
237,Howl's Moving Castle,2004,8.2,80.0,340454,4.71,119
