,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
453,Planet of the Apes,1968,8.0,79.0,166237,33.4,112
454,My Neighbor Totoro,1988,8.2,86.0,296593,1.11,86
455,Primal Fear,1996,7.7,47.0,192092,56.12,129
456,Cinema Paradiso,1988,8.5,80.0,234037,11.99,155
457,Stalker,1979,8.2,,118984,0.23,162
458,The Girl with the Dragon Tattoo,2009,7.8,76.0,209933,10.1,152
459,The Butterfly Effect,2004,7.6,30.0,454514,57.94,113
460,Blow,2001,7.6,52.0,242673,52.99,124
461,Wreck-It Ralph,2012,7.7,72.0,383811,189.42,101
462,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,255037,128.08,120
463,The Lego Movie,2014,7.7,83.0,325942,257.76,100
464,Brazil,1985,7.9,84.0,188863,9.93,132
465,A Bronx Tale,1993,7.8,80.0,129559,17.27,121
466,Eastern Promises,2007,7.6,82.0,229576,17.11,100
467,The Skin I Live In,2011,7.6,70.0,140624,3.19,120
468,7 Kogustaki Mucize,2019,8.2,,36971,,132
469,The Holy Mountain,1973,7.9,76.0,37940,0.06,114
470,Close Encounters of the Third Kind,1977,7.6,90.0,186636,132.09,138
471,Dog Day Afternoon,1975,8.0,86.0,237866,50.0,125
472,The Elephant Man,1980,8.1,78.0,222471,,124
473,Die Hard with a Vengeance,1995,7.6,58.0,366484,100.01,128
474,Match Point,2005,7.6,72.0,207619,23.09,124
475,Some Like It Hot,1959,8.2,98.0,246390,25.0,121
476,Lord of War,2005,7.6,62.0,295957,24.15,122
477,Walk the Line,2005,7.8,72.0,236069,119.52,136
478,North by Northwest,1959,8.3,98.0,302022,13.28,136
479,Dark City,1998,7.6,66.0,189042,14.38,100
480,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,203066,102.31,110
481,Barry Lyndon,1975,8.1,89.0,152020,,185
482,Star Trek II: The Wrath of Khan,1982,7.7,67.0,113562,78.91,113
483,This Is England,2006,7.7,86.0,116255,0.33,101
484,When Harry Met Sally...,1989,7.6,76.0,197849,92.82,95
485,Sunset Blvd.,1950,8.4,,203838,,110
486,The Seventh Seal,1957,8.2,88.0,167454,,96
487,Toy Story 2,1999,7.9,88.0,532287,245.85,92
488,Billy Elliot,2000,7.7,74.0,127700,22.0,110
489,Ordinary People,1980,7.7,86.0,47655,54.8,124
490,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,154617,78.76,85
491,The Sting,1973,8.3,83.0,243657,159.6,129
492,Kramer vs. Kramer,1979,7.8,77.0,134867,106.26,105
493,Sling Blade,1996,8.0,84.0,87631,24.48,135
494,Annie Hall,1977,8.0,92.0,253353,39.2,93
495,Ran,1985,8.2,96.0,114188,4.14,162
496,The Illusionist,2006,7.6,68.0,356496,39.87,110
497,Dawn of the Planet of the Apes,2014,7.6,79.0,413985,208.55,130
498,The Conversation,1974,7.8,85.0,100269,4.42,113
499,Enter the Dragon,1973,7.7,83.0,97650,25.0,102
500,Philadelphia,1993,7.7,66.0,226315,77.32,125
501,Doctor Zhivago,1965,8.0,69.0,70602,111.72,197
502,The Jungle Book,1967,7.6,65.0,167883,141.84,78
503,Roma,2018,7.7,96.0,142738,,135
504,Only the Brave,2017,7.6,72.0,59684,18.34,134
505,The Birds,1963,7.7,90.0,173272,11.4,119
506,Das Boot,1981,8.3,86.0,234131,11.49,149
507,Seven Pounds,2008,7.6,36.0,288592,69.95,123
508,Tumbbad,2018,8.3,,29046,,104
509,The Quiet Man,1952,7.7,,35351,10.55,129
510,The Remains of the Day,1993,7.8,86.0,67181,22.95,134
511,Giant,1956,7.6,84.0,34492,,201
512,The Color Purple,1985,7.8,78.0,79214,98.47,154
513,Lost Highway,1997,7.6,52.0,132542,3.8,134
514,Akira,1988,8.0,,167000,0.55,124
515,The Wrestler,2008,7.9,80.0,290982,26.24,109
516,Awakenings,1990,7.8,74.0,127430,52.1,121
517,Perfect Blue,1997,8.0,,59997,0.78,81
518,Anatomy of a Murder,1959,8.0,95.0,60479,11.9,161
519,Enemy at the Gates,2001,7.6,53.0,245593,51.4,131
520,JFK,1991,8.0,72.0,143499,70.41,189
521,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,69555,,131
522,Hotel Rwanda,2004,8.1,79.0,336801,23.53,121
523,Raatchasan,2018,8.5,,26764,,170
524,The Raid: Redemption,2011,7.6,73.0,191848,4.11,101
525,Fried Green Tomatoes,1991,7.7,64.0,67567,82.42,130
526,After Hours,1985,7.7,90.0,60929,10.6,97
527,A Separation,2011,8.3,95.0,223013,7.1,123
528,Serpico,1973,7.7,87.0,111297,29.8,130
529,Hachi: A Dog's Tale,2009,8.1,,256941,,93
530,Mississippi Burning,1988,7.8,65.0,89485,34.6,128
531,Me and Earl and the Dying Girl,2015,7.7,74.0,124441,6.74,105
532,Dogville,2003,8.0,60.0,139105,1.53,178
533,The Last King of Scotland,2006,7.7,74.0,176622,17.61,123
534,The Searchers,1956,7.9,94.0,81157,,119
535,Metropolis,1927,8.3,98.0,161624,1.24,153
536,Ghost in the Shell,1995,8.0,76.0,130863,0.52,83
537,The Man from Earth,2007,7.9,,175549,,87
538,La Haine,1995,8.1,,152974,0.31,98
539,Togo,2019,8.0,69.0,39473,,113
540,Adaptation.,2002,7.7,83.0,180039,22.25,115
541,Battle Royale,2000,7.6,81.0,170222,,114
542,Detachment,2011,7.7,52.0,78052,0.07,98
543,Roman Holiday,1953,8.0,78.0,128433,,118
544,The French Connection,1971,7.7,94.0,111395,15.63,104
545,"Synecdoche, New York",2008,7.6,67.0,84280,3.08,124
546,All About My Mother,1999,7.8,87.0,90034,8.26,101
547,Before Sunset,2004,8.1,90.0,239474,5.82,80
548,Ponyo,2008,7.7,86.0,127470,15.09,101
549,Kelly's Heroes,1970,7.6,50.0,45665,1.38,144
550,Hara-Kiri,1962,8.6,85.0,43779,,133
551,The Last Emperor,1987,7.7,76.0,95519,43.98,163
552,Clerks,1994,7.7,70.0,212418,3.15,92
553,50/50,2011,7.6,72.0,316918,35.01,100
554,Paddington 2,2017,7.8,88.0,62999,40.44,103
555,The Apartment,1960,8.3,94.0,166342,18.6,125
556,Malcolm X,1992,7.7,73.0,87174,48.17,202
557,Manhattan,1979,7.9,83.0,132406,45.7,96
558,Dirty Harry,1971,7.7,90.0,144480,35.9,102
559,Rebecca,1940,8.1,86.0,125337,4.36,130
560,High Noon,1952,7.9,89.0,98050,9.45,85
561,Naked,1993,7.8,84.0,35177,1.77,132
562,Gandhi,1982,8.0,79.0,218955,52.77,191
563,Funny Games,1997,7.6,69.0,66074,,108
564,Kung Fu Hustle,2004,7.7,78.0,128402,17.11,99
565,Dawn of the Dead,1978,7.9,71.0,112220,5.1,127
566,The Insider,1999,7.8,84.0,161147,28.97,157
567,The Best Offer,2013,7.8,49.0,109901,0.09,131
568,A Streetcar Named Desire,1951,8.0,97.0,100010,8.0,122
569,Solaris,1972,8.1,90.0,82168,,167
570,Lucky Number Slevin,2006,7.7,53.0,300710,22.49,110
571,The Fall,2006,7.9,64.0,107815,2.28,117
572,"Blood In, Blood Out",1993,8.0,47.0,29080,4.5,180
573,Rio Bravo,1959,8.0,93.0,56854,12.54,141
574,Castle in the Sky,1986,8.0,78.0,152024,,125
575,21 Grams,2003,7.6,70.0,225914,16.29,124
576,Badlands,1973,7.8,93.0,66911,,94
577,Ed Wood,1994,7.8,70.0,165942,5.89,127
578,Fallen Angels,1995,7.7,71.0,27415,,99
579,Klaus,2019,8.2,65.0,109580,,96
580,The Name of the Rose,1986,7.7,54.0,102866,7.15,130
581,Flipped,2010,7.7,45.0,82190,1.75,90
582,Before Midnight,2013,7.9,94.0,143450,8.11,109
583,Andhadhun,2018,8.3,,74172,1.37,139
584,The Artist,2011,7.9,89.0,232059,44.67,100
585,8½,1963,8.0,91.0,110003,0.05,138
586,All the President's Men,1976,7.9,84.0,104445,70.6,138
587,The King of Comedy,1982,7.8,73.0,91135,2.5,109
588,Dara of Jasenovac,2020,8.3,,34100,,130
589,Let the Right One In,2008,7.9,82.0,206647,2.12,114
590,How to Train Your Dragon 2,2014,7.8,76.0,308361,177.0,102
591,What Ever Happened to Baby Jane?,1962,8.1,75.0,50674,4.05,134
592,The Wild Bunch,1969,7.9,97.0,77990,12.06,135
593,The Celebration,1998,8.0,82.0,79265,1.65,105
594,Fiddler on the Roof,1971,8.0,67.0,39895,80.5,181
595,Miller's Crossing,1990,7.7,66.0,126847,5.08,115
596,Paths of Glory,1957,8.4,90.0,180551,,88
597,The Wind Rises,2013,7.8,83.0,75130,5.21,126
598,Amores Perros,2000,8.1,83.0,225682,5.38,154
599,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,40516,,87
600,Kiki's Delivery Service,1989,7.8,83.0,126663,,103
601,The Body,2012,7.6,,58784,,112
602,Finding Neverland,2004,7.6,67.0,199672,51.68,106
603,Nausicaä of the Valley of the Wind,1984,8.1,86.0,153315,0.5,117
604,I Am Sam,2001,7.7,28.0,143688,40.31,132
605,Secrets & Lies,1996,8.0,91.0,38194,13.42,136
606,Changeling,2008,7.7,63.0,240917,35.74,141
607,The Iron Giant,1999,8.0,85.0,173741,23.16,86
608,Network,1976,8.1,83.0,146324,,121
609,Harold and Maude,1971,7.9,62.0,71486,,91
610,The Killing Fields,1984,7.8,76.0,52066,34.7,141
611,All About Eve,1950,8.2,98.0,121727,0.01,138
612,On the Waterfront,1954,8.1,91.0,143543,9.6,108
613,The Nightmare Before Christmas,1993,8.0,82.0,302190,75.08,76
614,The Right Stuff,1983,7.8,91.0,56586,21.5,193
615,Short Term 12,2013,8.0,82.0,82670,1.01,96
616,Land of Mine,2015,7.8,75.0,36478,0.44,100
617,La Vie En Rose,2007,7.6,66.0,83289,10.3,140
618,Shoplifters,2018,7.9,93.0,64848,3.31,121
619,Like Stars on Earth,2007,8.4,,171959,1.22,165
620,Evil Dead II,1987,7.8,72.0,149421,5.92,84
621,Sing Street,2016,7.9,79.0,86181,3.24,106
622,M,1931,8.3,,145132,0.03,99
623,The Maltese Falcon,1941,8.0,96.0,149956,2.11,100
624,Drishyam,2015,8.2,,72269,0.74,163
625,The Hustler,1961,8.0,90.0,75542,8.28,134
626,Mother,2009,7.8,79.0,54371,0.55,129
627,Hero,2002,7.9,85.0,174706,53.71,120
628,Persona,1966,8.1,86.0,105161,,83
629,Beasts of No Nation,2015,7.7,79.0,74901,0.08,137
630,Happiness,1998,7.7,81.0,66829,2.81,134
631,Witness for the Prosecution,1957,8.4,,110602,8.18,116
632,Baahubali: The Beginning,2015,8.0,,104015,6.74,159
633,Nebraska,2013,7.7,87.0,113030,17.65,115
634,The Great Beauty,2013,7.8,86.0,82019,2.85,141
635,Days of Heaven,1978,7.8,93.0,53515,,94
636,Night of the Living Dead,1968,7.9,89.0,117552,0.09,96
637,Dancer in the Dark,2000,8.0,61.0,103210,4.18,140
638,Cinderella Man,2005,8.0,69.0,177417,61.65,144
639,La Dolce Vita,1960,8.0,95.0,67378,19.52,174
640,The Dirty Dozen,1967,7.7,73.0,67671,45.3,150
641,Sabrina,1954,7.7,72.0,60016,,113
642,Nosferatu,1922,7.9,,89568,,94
643,Mommy,2014,8.1,74.0,51587,3.49,139
644,Time of the Gypsies,1988,8.2,,27493,0.28,142
645,My Left Foot,1989,7.9,97.0,68947,14.74,103
646,The Man from Nowhere,2010,7.8,,63711,0.01,119
647,A Prophet,2009,7.9,90.0,94234,2.08,155
648,The Longest Day,1962,7.8,75.0,52445,39.1,178
649,October Sky,1999,7.8,71.0,83578,32.48,108
650,Yip Man,2008,8.0,59.0,212662,,106
651,The Adventures of Robin Hood,1938,7.9,97.0,47489,3.98,102
652,The Raid 2,2014,8.0,71.0,115120,2.63,150
653,Glengarry Glen Ross,1992,7.7,82.0,96707,10.73,100
654,Dial M for Murder,1954,8.2,75.0,160271,0.01,105
655,The Man Who Shot Liberty Valance,1962,8.1,94.0,69553,,123
656,Fantastic Planet,1973,7.8,73.0,26067,0.19,72
657,PK,2014,8.1,,164980,10.62,153
658,Cabaret,1972,7.8,80.0,48774,42.77,124
659,Good Bye Lenin!,2003,7.7,68.0,138903,4.06,121
660,Where Eagles Dare,1968,7.7,63.0,52360,,158
661,"Planes, Trains & Automobiles",1987,7.6,72.0,125889,49.53,93
662,East of Eden,1955,7.9,72.0,40846,,118
663,The Outlaw Josey Wales,1976,7.8,69.0,66238,31.8,135
664,In the Heat of the Night,1967,7.9,75.0,68556,24.38,110
665,Escape from Alcatraz,1979,7.6,76.0,123192,43.0,112
666,Au Revoir les Enfants,1987,8.0,88.0,31517,4.54,104
667,Barton Fink,1991,7.7,69.0,114135,6.15,116
668,Hannah and Her Sisters,1986,7.9,90.0,67784,40.08,107
669,Gangs of Wasseypur,2012,8.2,89.0,83553,,321
670,From Here to Eternity,1953,7.6,85.0,43774,30.5,118
671,The Day of the Jackal,1973,7.8,80.0,37851,16.06,143
672,Whisper of the Heart,1995,7.9,75.0,53321,,111
673,Rashomon,1950,8.2,98.0,154481,0.1,88
674,Double Indemnity,1944,8.3,95.0,145109,5.72,107
675,A Little Princess,1995,7.7,83.0,32469,10.02,97
676,The Bridges of Madison County,1995,7.6,69.0,74046,71.52,135
677,Loving Vincent,2017,7.8,62.0,51672,6.74,94
678,Ray,2004,7.7,73.0,139510,75.33,152
679,Paprika,2006,7.7,81.0,72590,0.88,90
680,Yojimbo,1961,8.2,,112733,,110
681,The Verdict,1982,7.7,77.0,36535,54.0,129
682,The Secret World of Arrietty,2010,7.6,80.0,82389,19.2,94
683,The Great Dictator,1940,8.4,,205342,0.29,125
684,Breaking the Waves,1996,7.8,76.0,62952,4.04,159
685,Cat on a Hot Tin Roof,1958,8.0,84.0,45656,17.57,108
686,The Straight Story,1999,8.0,86.0,82900,6.2,112
687,Modern Times,1936,8.5,96.0,220767,0.16,87
688,Three Colors: Blue,1993,7.9,85.0,91427,1.32,94
689,Mary and Max,2009,8.1,,165967,,92
690,All That Jazz,1979,7.9,72.0,28545,37.82,123
691,Victoria,2015,7.6,77.0,53746,,138
692,25th Hour,2002,7.6,68.0,170614,13.06,135
693,Rope,1948,8.0,73.0,131219,,80
694,Breathless,1960,7.8,,74148,0.34,90
695,Guess Who's Coming to Dinner,1967,7.8,63.0,40251,56.7,108
696,Fitzcarraldo,1982,8.1,,32004,,158
697,Wings of Desire,1987,8.0,79.0,65604,3.33,128
698,Vampire Hunter D: Bloodlust,2000,7.7,62.0,29521,0.15,103
699,Pink Floyd: The Wall,1982,8.1,47.0,76624,22.24,95
700,Amour,2012,7.9,94.0,93987,6.74,127
701,On Golden Pond,1981,7.6,68.0,27949,119.29,109
702,Black Book,2006,7.7,71.0,73059,4.4,145
703,Three Colors: Red,1994,8.1,100.0,92228,4.04,99
704,The Wave,2008,7.6,,103693,,107
705,Pride,2014,7.8,79.0,52492,,119
706,The World's Fastest Indian,2005,7.8,68.0,52288,5.13,127
707,The Lion in Winter,1968,7.9,,29254,22.28,134
708,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,78125,2.38,103
709,The Chaser,2008,7.8,64.0,59372,,125
710,Open Your Eyes,1997,7.7,,64529,0.37,119
711,Dead Man,1995,7.6,62.0,91189,1.04,121
712,Watership Down,1978,7.6,64.0,33972,,91
713,Letters from Iwo Jima,2006,7.9,89.0,154827,13.76,141
714,Run Lola Run,1998,7.6,77.0,189328,7.27,80
715,Ikiru,1952,8.3,,69694,0.06,143
716,Fanny and Alexander,1982,8.1,100.0,58200,4.97,188
717,Song of the Sea,2014,8.1,85.0,52750,0.86,93
718,A Man Called Ove,2015,7.7,70.0,48371,3.36,116
719,Strangers on a Train,1951,7.9,88.0,124165,7.63,101
720,Shadow of a Doubt,1943,7.8,94.0,60206,,108
721,Porco Rosso,1992,7.7,83.0,79392,,94
722,Fantasia,1940,7.7,96.0,89405,76.41,125
723,Touch of Evil,1958,8.0,99.0,99007,2.24,95
724,Stagecoach,1939,7.8,93.0,44293,,96
725,The Mirror,1975,8.1,80.0,40813,0.18,107
726,Belle de Jour,1967,7.7,,40788,0.03,100
727,Perfect Strangers,2016,7.8,,58231,,96
728,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,192996,52.04,81
729,"I, Daniel Blake",2016,7.9,78.0,54723,0.26,100
730,The Day the Earth Stood Still,1951,7.7,,76609,,92
731,Short Cuts,1993,7.7,79.0,42540,6.11,188
732,Bicycle Thieves,1948,8.3,,148565,0.33,89
733,Hamlet,1996,7.7,,36184,4.41,242
734,High and Low,1963,8.4,,35691,,143
735,The Manchurian Candidate,1962,7.9,94.0,71628,,126
736,A Christmas Story,1983,7.9,77.0,133495,20.61,93
737,The Big Sleep,1946,7.9,,79310,6.54,114
738,Judgment at Nuremberg,1961,8.2,60.0,70355,,179
739,Winter Sleep,2014,8.1,88.0,47422,0.17,196
740,The Double Life of Véronique,1991,7.8,86.0,43187,2.0,98
741,Kubo and the Two Strings,2016,7.8,84.0,119214,48.02,101
742,The Night of the Hunter,1955,8.0,99.0,82731,0.65,92
743,The African Queen,1951,7.7,91.0,72091,0.54,105
744,It Happened One Night,1934,8.1,87.0,95103,4.36,105
745,Frankenstein,1931,7.8,91.0,65905,,70
746,Gaslight,1944,7.8,,25048,,114
747,The Man Who Would Be King,1975,7.8,91.0,45462,,129
748,City Lights,1931,8.5,99.0,169779,0.02,87
749,Tangerines,2013,8.2,73.0,41661,0.14,87
750,The Tenant,1976,7.7,71.0,40425,1.92,126
751,The Vanishing,1988,7.7,,34343,,107
752,Lilya 4-Ever,2002,7.8,82.0,43020,0.18,109
753,Sympathy for Mr. Vengeance,2002,7.6,56.0,63432,0.05,129
754,The Legend of 1900,1998,8.1,58.0,59626,0.26,169
755,Infernal Affairs,2002,8.0,75.0,118492,0.17,101
756,Once,2007,7.8,88.0,111329,9.44,86
757,Notorious,1946,7.9,100.0,93002,10.46,102
758,Wolf Children,2012,8.1,71.0,39512,,117
759,Adam's Apples,2005,7.8,51.0,46263,0.0,94
760,The Muppet Movie,1979,7.6,74.0,33163,76.66,95
761,The Odd Couple,1968,7.7,86.0,31963,44.53,105
762,Rififi,1955,8.1,97.0,29831,0.06,118
763,Leviathan,2014,7.6,92.0,49959,1.09,140
764,Mysterious Skin,2004,7.6,73.0,66257,0.7,105
765,Wild Strawberries,1957,8.2,88.0,97860,,91
766,Patton,1970,7.9,91.0,94288,61.7,172
767,The Tale of The Princess Kaguya,2013,8.0,89.0,39777,1.51,137
768,The Philadelphia Story,1940,7.9,96.0,64136,,112
769,Paper Moon,1973,8.1,77.0,42673,30.93,102
770,Zulu,1964,7.7,77.0,36382,,138
771,The 400 Blows,1959,8.1,,106829,,99
772,The Kid,1921,8.3,,115145,5.45,68
773,Pink,2016,8.1,,39752,1.24,136
774,The White Ribbon,2009,7.8,82.0,69275,2.22,144
775,Ninja Scroll,1993,7.9,,34859,,94
776,Dead Man's Shoes,2004,7.6,52.0,50094,0.01,90
777,Drishyam,2013,8.4,,34110,,160
778,The Diving Bell and the Butterfly,2007,8.0,92.0,103792,5.99,112
779,Waking Life,2001,7.8,83.0,61084,2.89,99
780,The Best Years of Our Lives,1946,8.0,93.0,57802,23.65,170
781,Children of Heaven,1997,8.3,77.0,66507,0.93,89
782,The Sacrifice,1986,8.1,,25000,0.3,149
783,Andrei Rublev,1966,8.1,,47886,0.1,205
784,The Long Goodbye,1973,7.6,87.0,26713,0.96,112
785,Withnail & I,1987,7.7,84.0,40782,1.54,107
786,Talk to Her,2002,7.9,86.0,105353,9.28,112
787,Freaks,1932,7.9,80.0,42456,,64
788,Il Postino,1994,7.7,81.0,33984,21.85,108
789,Once Were Warriors,1994,7.9,77.0,31787,2.2,102
790,When Marnie Was There,2014,7.7,72.0,33770,0.77,103
791,The Grapes of Wrath,1940,8.0,96.0,86102,0.06,129
792,3-Iron,2004,8.0,72.0,51243,0.24,88
793,The Hidden Fortress,1958,8.1,,35380,,126
794,"Aguirre, the Wrath of God",1972,7.9,,52934,,95
795,The Killing,1956,8.0,91.0,82526,,84
796,Harvey,1950,7.9,,52789,,104
797,Mr. Smith Goes to Washington,1939,8.1,73.0,107899,9.6,129
798,Kagemusha,1980,8.0,84.0,32558,,162
799,The Secret of Kells,2009,7.6,81.0,32437,0.69,75
800,Batman: Mask of the Phantasm,1993,7.8,,44382,5.62,76
801,A Very Long Engagement,2004,7.6,76.0,71207,6.17,133
802,The Cabinet of Dr. Caligari,1920,8.1,,58075,,67
803,The Red Shoes,1948,8.1,,31405,10.9,135
804,Frost/Nixon,2008,7.7,80.0,103890,18.59,122
805,Duck You Sucker,1971,7.6,77.0,30497,0.7,138
806,Underground,1995,8.1,,55602,0.17,167
807,Peeping Tom,1960,7.7,,31805,0.08,101
808,Amarcord,1973,7.9,,40331,0.29,123
809,Death Note,2006,7.7,,28823,,126
810,Repulsion,1965,7.7,91.0,49376,,105
811,Tokyo Story,1953,8.2,,54227,,136
812,The Motorcycle Diaries,2004,7.8,75.0,97313,16.76,126
813,The Message,1976,8.2,,44278,,177
814,After the Wedding,2006,7.7,78.0,32477,0.41,120
815,Control,2007,7.7,78.0,61981,0.87,122
816,The Bride of Frankenstein,1935,7.8,95.0,43878,4.36,75
817,Evil,2003,7.8,61.0,35877,0.02,113
818,Inherit the Wind,1960,8.1,75.0,27574,,128
819,Invasion of the Body Snatchers,1956,7.7,92.0,45312,,80
820,Three Colors: White,1994,7.6,88.0,65578,1.46,92
821,Wait Until Dark,1967,7.8,81.0,27966,17.55,108
822,Autumn Sonata,1978,8.2,,27993,,99
823,Scarface,1932,7.8,87.0,25594,,93
824,Shine,1996,7.7,87.0,51659,35.81,105
825,Zindagi Na Milegi Dobara,2011,8.2,,68681,3.11,155
826,All Quiet on the Western Front,1930,8.0,91.0,57658,3.27,152
827,Elite Squad,2007,8.0,33.0,98801,0.01,115
828,The Little Prince,2015,7.7,70.0,57362,1.34,108
829,Soorarai Pottru,2020,8.6,,57221,,153
830,The Station Agent,2003,7.6,81.0,67692,5.74,89
831,The Sea Inside,2004,8.0,74.0,78054,2.09,126
832,The Battle of Algiers,1966,8.1,96.0,53877,0.06,121
833,Arsenic and Old Lace,1942,8.0,,65573,,118
834,The Salesman,2016,7.8,85.0,52414,2.4,124
835,The Return,2003,8.0,82.0,42953,0.5,110
836,Cowboy Bebop: The Movie,2001,7.9,61.0,43358,1.0,115
837,Le Samouraï,1967,8.1,,46167,0.04,101
838,The Conformist,1970,8.0,100.0,27569,0.54,113
839,Hedwig and the Angry Inch,2001,7.7,85.0,32147,3.03,95
840,Eyes Without a Face,1960,7.7,90.0,28051,0.05,90
841,The Past,2013,7.8,85.0,45363,1.33,130
842,The Bandit,1996,8.2,,64938,,128
843,Stalag 17,1953,8.0,84.0,51321,,120
844,Kind Hearts and Coronets,1949,8.0,,34803,,106
845,Diabolique,1955,8.0,,61931,,117
846,The 39 Steps,1935,7.6,93.0,52569,,86
847,The Ladykillers,1955,7.7,91.0,26818,,91
848,Gilda,1946,7.7,,28306,,110
849,Rang De Basanti,2006,8.2,,112963,2.2,167
850,The Wages of Fear,1953,8.1,85.0,55320,,131
851,Vikram Vedha,2017,8.4,,29337,,147
852,Throne of Blood,1957,8.1,,47325,,110
853,Night on Earth,1991,7.8,68.0,55988,2.02,129
854,The Broken Circle Breakdown,2012,7.7,70.0,39680,0.18,111
855,To Have and Have Not,1944,7.8,,31381,,100
856,Bajrangi Bhaijaan,2015,8.0,,73074,8.18,163
857,The Thin Man,1934,8.0,86.0,26909,,91
858,The Lady Vanishes,1938,7.8,98.0,48062,,96
859,Loveless,2017,7.6,86.0,30211,0.57,127
860,Laura,1944,8.0,,43125,4.36,88
861,Joint Security Area,2000,7.8,58.0,27025,,110
862,A Hard Day's Night,1964,7.6,96.0,40661,13.78,87
863,Ayla: The Daughter of War,2017,8.4,,34933,,125
864,Swades,2004,8.2,,83623,1.22,189
865,Kal Ho Naa Ho,2003,7.9,54.0,63928,1.79,186
866,Gully Boy,2019,8.0,65.0,32559,5.57,154
867,Farewell My Concubine,1993,8.1,,25431,5.22,171
868,Ace in the Hole,1951,8.1,72.0,32018,3.97,111
869,The Passion of Joan of Arc,1928,8.1,,48586,0.02,114
870,Crimes and Misdemeanors,1989,7.9,77.0,55146,18.25,104
871,Head-On,2004,7.9,78.0,51680,,121
872,The Experiment,2001,7.7,60.0,91212,0.14,120
873,The Chorus,2004,7.9,56.0,57947,3.64,97
874,In a Lonely Place,1950,8.0,,27299,,94
875,Out of the Past,1947,8.0,,33254,,97
876,My Name Is Khan,2010,8.0,50.0,99268,4.02,165
877,Hera Pheri,2000,8.2,,57756,,156
878,Ivan's Childhood,1962,8.1,,32328,,84
879,Cries & Whispers,1972,8.1,,30689,1.74,91
880,Cape Fear,1962,7.7,76.0,26682,,106
881,The Girl Who Leapt Through Time,2006,7.7,,61135,,98
882,His Girl Friday,1940,7.9,,54154,0.3,92
883,The Invisible Man,1933,7.7,87.0,31116,,71
884,Only Yesterday,1991,7.6,90.0,27743,0.45,118
885,Persepolis,2007,8.0,90.0,89356,4.45,96
886,Bringing Up Baby,1938,7.8,91.0,55731,,102
887,Red River,1948,7.8,,28503,,133
888,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,39297,0.2,102
889,Hard Boiled,1992,7.8,,47059,,128
890,Lifeboat,1944,7.6,78.0,26706,,97
891,Brief Encounter,1945,8.0,92.0,36193,,86
892,Nobody Knows,2004,8.1,88.0,25239,0.68,141
893,To Be or Not to Be,1942,8.2,86.0,30855,,99
894,Darbareye Elly,2009,8.0,87.0,46790,0.11,119
895,"Black Cat, White Cat",1998,8.1,73.0,51269,0.35,127
896,The Innocents,1961,7.8,88.0,27339,2.62,100
897,My Father and My Son,2005,8.3,,80072,,112
898,The Taking of Pelham One Two Three,1974,7.7,68.0,27000,0.85,104
899,Lagaan: Once Upon a Time in India,2001,8.1,84.0,105883,0.07,224
900,La Strada,1954,8.0,,58836,,108
901,The Gold Rush,1925,8.2,,102374,5.45,95
902,Once Upon a Time in Anatolia,2011,7.9,82.0,42735,0.14,157
903,The Lunchbox,2013,7.8,76.0,51126,4.23,104
904,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,27517,,102
905,Mustang,2015,7.6,83.0,36279,0.85,97
906,Key Largo,1948,7.8,,37265,,100
907,In America,2002,7.7,76.0,40564,15.54,105
908,Sweet Smell of Success,1957,8.0,100.0,28588,,96
909,Tokyo Godfathers,2003,7.8,73.0,32244,0.13,92
910,K.G.F: Chapter 1,2018,8.2,,38219,,156
911,Sleuth,1972,8.0,,45044,4.08,138
912,No Man's Land,2001,7.9,84.0,45033,1.06,98
913,Rockstar,2011,7.7,,39903,0.99,159
914,Down by Law,1986,7.8,75.0,48270,1.44,107
915,Departures,2008,8.1,68.0,48995,1.5,130
916,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,57079,1.19,113
917,Sunrise,1927,8.1,,47220,0.54,94
918,Vivre Sa Vie,1962,8.0,,28578,,85
919,Fireworks,1997,7.8,,28075,0.23,103
920,Fearless,2006,7.6,70.0,73150,24.63,104
921,Jules and Jim,1962,7.8,97.0,38146,,105
922,Talvar,2015,8.2,,31509,0.34,132
923,Badhaai Ho,2018,8.0,,28463,,124
924,Raise the Red Lantern,1991,8.1,,29948,2.6,125
925,The Purple Rose of Cairo,1985,7.7,75.0,47497,10.63,82
926,Chhichhore,2019,8.2,,34980,0.9,143
927,Interstate 60: Episodes of the Road,2002,7.7,,30232,,116
928,Baahubali 2: The Conclusion,2017,8.2,,76317,20.19,167
929,L'Avventura,1960,7.9,,26938,,144
930,Confessions,2010,7.8,,36066,,106
931,Queen,2013,8.2,,61101,1.43,146
932,Celda 211,2009,7.6,,64322,,113
933,The General,1926,8.1,,82077,1.03,67
934,Love and Death,1975,7.7,89.0,36408,,85
